regulator	target	bootstraps
CTCF	RAD54B	-16.0
MYCN	NOSTRIN	-16.0
PITX2	SPAG5	16.0
AHR	COMTD1	16.0
CTCF	SF3B4	-16.0
GATA4	PFKFB1	16.0
GATA3	CORO2B	16.0
CTCF	HOXA7	16.0
PITX2	ZWILCH	16.0
PITX2	WDHD1	16.0
PITX2	CCDC152	-16.0
STAT1	E2F1	-16.0
REL	TRIM23	-16.0
MYCN	MRPL14	16.0
POU5F1B	POLQ	16.0
HOXB3	UQCRHL	16.0
YBX1	CCDC167	16.0
CTCF	GRASP	16.0
GATA4	SEMA6D	16.0
NFYB	UHRF1	16.0
GATA5	SH3D19	16.0
YBX1	CDK1	16.0
YBX1	TUBA1C	16.0
PPARG	ABCA8	16.0
AHR	KNL1	-16.0
MYCN	LRFN4	16.0
YBX1	PDE5A	-16.0
GATA2	KCTD12	16.0
MYCN	CBS	16.0
GATA4	UTRN	16.0
MAF	LPCAT1	-16.0
CTCF	PPARG	16.0
CTCF	CDC14B	16.0
CTCF	FAM129A	16.0
CTCF	LIMA1	16.0
LHX1	FBXL17	16.0
LHX1	FAM214A	16.0
IRF6	GPAM	-16.0
GATA5	DUSP6	16.0
MAF	ABCA8	16.0
